GeoFips,GeoName,2017,2018,2019,2020
2110,"Juneau City and Borough, AK",66780,70052,72294,74162
2122,"Kenai Peninsula Borough, AK*",50215,51975,54026,56139
2130,"Ketchikan Gateway Borough, AK*",65403,67666,70362,70574
2150,"Kodiak Island Borough, AK",60329,60618,64144,66988
2158,"Kusilvak Census Area, AK*",29732,30395,31422,33968
2164,"Lake and Peninsula Borough, AK*",60823,65917,63985,63397
2170,"Matanuska-Susitna Borough, AK",45109,47076,48327,50386
2180,"Nome Census Area, AK",49437,51351,53521,55950
2185,"North Slope Borough, AK*",88258,86784,92708,90809
2188,"Northwest Arctic Borough, AK",44692,49001,50341,52440
2195,"Petersburg Borough, AK*",65378,69705,71111,72412
2198,"Prince of Wales-Hyder Census Area, AK*",42135,45167,47601,48970
2201,"Prince of Wales-Outer Ketchikan Census Area, AK*",(NA),(NA),(NA),(NA)
2220,"Sitka City and Borough, AK*",67899,69656,71462,70996
2230,"Skagway Municipality, AK*",74942,79939,81135,66548
2231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA),(NA),(NA)
2232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),(NA),(NA),(NA)
2240,"Southeast Fairbanks Census Area, AK*",48220,50669,51992,54808
2261,"Valdez-Cordova Census Area, AK*",59272,60348,62267,(NA)
2275,"Wrangell City and Borough, AK*",45759,48680,48610,48549
2280,"Wrangell-Petersburg Census Area, AK*",(NA),(NA),(NA),(NA)
2282,"Yakutat City and Borough, AK*",55469,58780,65736,66119
2290,"Yukon-Koyukuk Census Area, AK*",54276,56847,60189,63675
2901,"Aleutian Islands Division, AK*",(NA),(NA),(NA),(NA)
2903,"Angoon Division, AK*",(NA),(NA),(NA),(NA)
2904,"Barrow-North Slope Division, AK*",(NA),(NA),(NA),(NA)
2905,"Bethel Division, AK*",(NA),(NA),(NA),(NA)
2907,"Bristol Bay Division, AK*",(NA),(NA),(NA),(NA)
2908,"Cordova-McCarthy Division, AK*",(NA),(NA),(NA),(NA)
2910,"Haines Division, AK*",(NA),(NA),(NA),(NA)
2912,"Kenai-Cook Inlet Division, AK*",(NA),(NA),(NA),(NA)
2916,"Kuskokwim Division, AK*",(NA),(NA),(NA),(NA)
2919,"Outer Ketchikan Division, AK*",(NA),(NA),(NA),(NA)
2920,"Prince of Wales Division, AK*",(NA),(NA),(NA),(NA)
2921,"Seward Division, AK*",(NA),(NA),(NA),(NA)
2922,"Sitka Division, AK*",(NA),(NA),(NA),(NA)
2923,"Skagway-Yakutat Division, AK*",(NA),(NA),(NA),(NA)
2924,"Southeast Fairbanks Division, AK*",(NA),(NA),(NA),(NA)
2925,"Upper Yukon Division, AK*",(NA),(NA),(NA),(NA)
2926,"Valdez-Chitina-Whittier Division, AK*",(NA),(NA),(NA),(NA)
2928,"Wrangell-Petersburg Division, AK*",(NA),(NA),(NA),(NA)
2929,"Yukon-Koyukuk Division, AK*",(NA),(NA),(NA),(NA)
4001,"Apache, AZ",31764,33324,33844,38915
4003,"Cochise, AZ",38375,38892,40546,45786
4005,"Coconino, AZ",46805,48416,48837,53036
4007,"Gila, AZ",37802,38892,39720,44201
4009,"Graham, AZ",29497,30540,31179,35072
4011,"Greenlee, AZ",36233,39794,41082,44050
4012,"La Paz, AZ*",31449,32456,34387,39482
4013,"Maricopa, AZ",45454,47606,49663,53521
4015,"Mohave, AZ",31827,33083,34274,36529
4017,"Navajo, AZ",30091,31400,32007,36169
4019,"Pima, AZ",41574,43103,44649,48373
4021,"Pinal, AZ",30500,31679,32699,35949
4023,"Santa Cruz, AZ",36501,37151,38274,42204
4025,"Yavapai, AZ",38716,40098,41076,44490
4027,"Yuma, AZ*",33520,33672,35065,40800
5001,"Arkansas, AR",43665,44635,46005,50534
5003,"Ashley, AR",34291,35682,37318,38489
5005,"Baxter, AR",36191,36702,37854,39950
5007,"Benton, AR",85082,92758,94108,94289
5009,"Boone, AR",34265,35466,36174,38108
5011,"Bradley, AR",37132,38756,39097,42037
5013,"Calhoun, AR",33377,34321,35808,38509
5015,"Carroll, AR",32713,33298,32925,34692
5017,"Chicot, AR",36080,36744,38927,44762
5019,"Clark, AR",34821,35696,36903,39450
5021,"Clay, AR",34091,34740,35973,39157
5023,"Cleburne, AR",36840,37876,39296,41656
5025,"Cleveland, AR",38133,40108,39663,40366
5027,"Columbia, AR",36917,36561,37225,38806
5029,"Conway, AR",36743,38063,38465,40633
5031,"Craighead, AR",36504,37129,38365,40728
5033,"Crawford, AR",32060,32745,33837,35919
5035,"Crittenden, AR",36123,36828,38397,41474
5037,"Cross, AR",35277,35000,37334,41715
5039,"Dallas, AR",33636,35297,37188,40611
5041,"Desha, AR",36884,37227,39508,44920
5043,"Drew, AR",35650,36257,37906,40726
5045,"Faulkner, AR",36780,38103,39335,41943
5047,"Franklin, AR",32213,33011,32841,33885
5049,"Fulton, AR",26972,27978,28457,31840
5051,"Garland, AR",39116,40053,41502,44358
5053,"Grant, AR",37047,37751,39324,41674
5055,"Greene, AR",33513,34554,35869,38560
5057,"Hempstead, AR",30803,31739,31799,33760
5059,"Hot Spring, AR",30134,30887,31697,34110
5061,"Howard, AR",35135,35903,34068,34751
5063,"Independence, AR",34555,35115,36292,38266
5065,"Izard, AR",29208,30400,30681,32606
5067,"Jackson, AR",36793,37536,38054,41646
5069,"Jefferson, AR",33927,34510,36060,39443
5071,"Johnson, AR",28295,28685,28774,30728
5073,"Lafayette, AR",34430,35151,35672,38307
5075,"Lawrence, AR",33021,33205,33601,38065
5077,"Lee, AR",28102,27409,30263,32359
5079,"Lincoln, AR",25793,26781,27710,29008
5081,"Little River, AR",33824,34014,34392,37075
5083,"Logan, AR",32860,33286,32662,34433
5085,"Lonoke, AR",38221,39677,40825,43537
5087,"Madison, AR",35625,34972,33906,34012
5089,"Marion, AR",29801,30499,31494,33493
5091,"Miller, AR",32597,33580,34620,37065
5093,"Mississippi, AR",31076,32888,35915,37730
5095,"Monroe, AR",31901,32365,35474,40475
5097,"Montgomery, AR",28996,30029,29748,32125
5099,"Nevada, AR",32613,33470,33940,35808
5101,"Newton, AR",27670,29017,30265,32731
5103,"Ouachita, AR",35175,37224,38582,41877
5105,"Perry, AR",34563,35410,36201,38404
5107,"Phillips, AR",31369,31773,34052,38155
5109,"Pike, AR",31925,32608,32315,33920
5111,"Poinsett, AR",31767,32482,34677,37307
5113,"Polk, AR",29370,30553,30512,32573
5115,"Pope, AR",33800,34989,35416,36617
5117,"Prairie, AR",35888,36502,36273,42843
5119,"Pulaski, AR",49781,50641,52499,55563
5121,"Randolph, AR",32790,33255,33640,36401
5123,"St. Francis, AR",26735,27247,28560,30903
5125,"Saline, AR",41157,42462,43233,45692
5127,"Scott, AR",30458,31276,30901,32290
5129,"Searcy, AR",27193,27323,28270,31657
5131,"Sebastian, AR",40711,41479,43310,45586
5133,"Sevier, AR",31638,32556,31719,32926
5135,"Sharp, AR",32700,34120,34281,35612
5137,"Stone, AR",29848,30761,31171,32753
5139,"Union, AR",43421,43867,46081,48669
5141,"Van Buren, AR",29697,30616,31752,34482
5143,"Washington, AR",39493,40194,41643,43817
5145,"White, AR",34712,36105,37110,39598
5147,"Woodruff, AR",36975,36784,37638,45248
5149,"Yell, AR",32622,33652,33074,33506
6001,"Alameda, CA",70370,75354,78839,87078
6003,"Alpine, CA",70305,76104,79701,76175
6005,"Amador, CA",41769,42466,43979,47721
6007,"Butte, CA",41465,42441,45175,50279
6009,"Calaveras, CA",45449,46818,48460,53026
6011,"Colusa, CA",41890,46623,44661,57382
6013,"Contra Costa, CA",75929,79641,84614,92264
6015,"Del Norte, CA",34280,35017,36092,40192
6017,"El Dorado, CA",63387,65806,68125,72662
6019,"Fresno, CA",40208,41248,43019,48495
6021,"Glenn, CA",41185,43449,43247,52219
6023,"Humboldt, CA",43354,44438,46072,50182
6025,"Imperial, CA",35780,35331,37196,44500
6027,"Inyo, CA",58964,57444,60229,64335
6029,"Kern, CA",37080,38079,39559,44721
6031,"Kings, CA",35664,35267,36442,41829
6033,"Lake, CA",39840,40669,42144,47144
6035,"Lassen, CA",34146,34970,35581,40490
6037,"Los Angeles, CA",57551,59874,63043,68272
6039,"Madera, CA",36836,37373,38751,44532
6041,"Marin, CA",122748,132000,138903,145575
6043,"Mariposa, CA",49352,51530,53861,57828
6045,"Mendocino, CA",45984,47694,49803,54795
6047,"Merced, CA",36766,37193,37952,43914
6049,"Modoc, CA",43335,43881,45375,52779
6051,"Mono, CA",48054,46598,49356,54586
6053,"Monterey, CA",53189,53625,56545,61510
6055,"Napa, CA",69528,70161,73886,82408
6057,"Nevada, CA",57573,58685,60689,64876
6059,"Orange, CA",64601,67044,69951,74618
6061,"Placer, CA",63609,65547,67610,72279
6063,"Plumas, CA",47566,49485,51044,55029
6065,"Riverside, CA",38605,39955,41385,45834
6067,"Sacramento, CA",49125,51187,53278,58307
6069,"San Benito, CA",49092,50703,52806,60807
6071,"San Bernardino, CA",37477,38781,40537,44831
6073,"San Diego, CA",56802,58719,60845,66266
6075,"San Francisco, CA",119591,129280,133856,144818
6077,"San Joaquin, CA",41601,43077,45075,51816
6079,"San Luis Obispo, CA",54210,55913,58693,62342
6081,"San Mateo, CA",116077,125332,132133,141841
6083,"Santa Barbara, CA",58138,60818,62715,67879
6085,"Santa Clara, CA",99336,108344,114649,123661
6087,"Santa Cruz, CA",62813,65751,68990,75957
6089,"Shasta, CA",43379,44549,46417,51649
6091,"Sierra, CA",41561,42769,45432,49139
6093,"Siskiyou, CA",41970,42887,44158,49664
6095,"Solano, CA",47333,49336,51889,58688
6097,"Sonoma, CA",58347,61501,64869,71386
6099,"Stanislaus, CA",41076,41850,43402,48954
6101,"Sutter, CA",41519,43336,45054,50730
6103,"Tehama, CA",38580,39460,40775,46007
6105,"Trinity, CA",36155,38249,39959,43877
6107,"Tulare, CA",38531,38613,40040,46348
6109,"Tuolumne, CA",43901,44695,46166,49708
6111,"Ventura, CA",57981,60238,63190,67422
6113,"Yolo, CA",50520,51690,54398,58391
6115,"Yuba, CA",38506,40196,41384,46373
8001,"Adams, CO*",41286,43482,45026,48115
8003,"Alamosa, CO",34842,36671,38403,42974
8005,"Arapahoe, CO",56621,61243,63741,66691
8007,"Archuleta, CO",40426,42313,43253,46287
8009,"Baca, CO",43217,41283,39076,53223
8011,"Bent, CO",24111,27096,29253,33591
8013,"Boulder, CO*",69456,72607,77305,79649
8014,"Broomfield, CO*",63766,68365,65397,67495
8015,"Chaffee, CO",43578,46488,48991,51361
8017,"Cheyenne, CO",38127,39384,52633,61731
8019,"Clear Creek, CO",59012,59243,62927,67132
8021,"Conejos, CO",33138,35096,35296,39847
8023,"Costilla, CO",31101,32570,33520,38430
8025,"Crowley, CO",18347,19656,20086,23751
8027,"Custer, CO",39388,40117,42383,45691
8029,"Delta, CO",36324,37900,38293,42127
8031,"Denver, CO",73385,77667,83192,85411
8033,"Dolores, CO",34443,36047,37942,42093
8035,"Douglas, CO",71075,76051,76408,78980
8037,"Eagle, CO",74225,81871,85253,87872
8039,"Elbert, CO",54729,58344,60702,63970
8041,"El Paso, CO",46633,48545,50845,54151
8043,"Fremont, CO",32725,34654,35713,38952
8045,"Garfield, CO",56153,57918,60376,62581
8047,"Gilpin, CO",47110,47816,50517,55256
8049,"Grand, CO",49270,51717,53867,57476
8051,"Gunnison, CO",44359,46973,47372,51025
8053,"Hinsdale, CO",46193,47322,48227,49423
8055,"Huerfano, CO",38459,38921,40974,46859
8057,"Jackson, CO",48315,53671,53747,62008
8059,"Jefferson, CO*",59635,62402,66183,68829
8061,"Kiowa, CO",40510,44092,53319,66839
8063,"Kit Carson, CO",37475,36174,41914,47198
8065,"Lake, CO",33549,35846,37102,40344
8067,"La Plata, CO",52532,55994,57722,61304
8069,"Larimer, CO",51410,53836,55935,58725
8071,"Las Animas, CO",35541,37987,38161,43118
8073,"Lincoln, CO",26967,28066,29415,35695
8075,"Logan, CO",44326,43833,42751,46217
8077,"Mesa, CO",42396,44691,45898,48435
8079,"Mineral, CO",62116,66286,72101,73101
8081,"Moffat, CO",40018,42131,42802,47467
8083,"Montezuma, CO",40216,41684,42988,46919
8085,"Montrose, CO",37791,40933,41922,45262
8087,"Morgan, CO",41251,44559,44991,48701
8089,"Otero, CO",33772,35777,37231,41333
8091,"Ouray, CO",55843,62568,63263,67263
8093,"Park, CO",43080,43157,45623,48514
8095,"Phillips, CO",40275,41503,43788,49877
8097,"Pitkin, CO",137916,150112,156830,155067
8099,"Prowers, CO",38284,39659,39120,41990
8101,"Pueblo, CO",36226,37969,39533,43196
8103,"Rio Blanco, CO",44212,46929,48829,52422
8105,"Rio Grande, CO",41718,45214,48202,53641
8107,"Routt, CO",78454,78807,82153,85836
8109,"Saguache, CO",29489,31895,34439,40032
8111,"San Juan, CO",43836,41734,45631,50039
8113,"San Miguel, CO",78860,85260,89728,93954
8115,"Sedgwick, CO",42191,39979,44765,50896
8117,"Summit, CO",65209,69416,73435,77754
8119,"Teller, CO",47914,49047,51337,54587
8121,"Washington, CO",35945,38049,41706,49287
8123,"Weld, CO*",44550,47884,48923,52054
8125,"Yuma, CO",42428,41981,44056,47285
9001,"Fairfield, CT",110450,116757,118515,120244
9003,"Hartford, CT",60756,63014,64545,67938
9005,"Litchfield, CT",60256,61979,65086,67118
9007,"Middlesex, CT",64463,66258,68361,71291
9009,"New Haven, CT",52533,54773,56710,60092
9011,"New London, CT",55544,56567,58122,61191
9013,"Tolland, CT",53413,54956,56891,59590
9015,"Windham, CT",43832,44751,47261,50747
10001,"Kent, DE",40731,42155,43761,46600
10003,"New Castle, DE",54191,57085,57404,59955
10005,"Sussex, DE",49909,51790,52935,54352
11001,"District of Columbia, DC",78116,80342,80819,86567
12001,"Alachua, FL",42593,44705,46636,49556
12003,"Baker, FL",32185,33285,33913,36552
12005,"Bay, FL",41749,43020,46818,50696
12007,"Bradford, FL",33012,33688,33971,36301
12009,"Brevard, FL",43905,46145,48539,51507
12011,"Broward, FL",48425,50458,52864,55908
12013,"Calhoun, FL",26480,27374,29081,32264
12015,"Charlotte, FL",40852,42292,43549,45606
12017,"Citrus, FL",37178,38263,39701,41933
12019,"Clay, FL",42373,43544,44818,47407
12021,"Collier, FL",90790,99997,103205,103865
12023,"Columbia, FL",33690,34842,35600,38243
12027,"DeSoto, FL",24244,24369,25717,27863
12029,"Dixie, FL",27634,28455,28519,30651
12031,"Duval, FL",44832,46061,48096,51131
12033,"Escambia, FL",41730,42744,44377,47381
12035,"Flagler, FL",45494,47099,48754,50599
12037,"Franklin, FL",34086,36912,37169,39452
12039,"Gadsden, FL",33550,34179,35696,38507
12041,"Gilchrist, FL",32974,33608,34069,37425
12043,"Glades, FL",24160,24336,25566,28116
12045,"Gulf, FL",34014,37117,45559,49666
12047,"Hamilton, FL",25653,26880,26884,29383
12049,"Hardee, FL",27923,27010,28389,31775
12051,"Hendry, FL",30528,30939,31921,35546
12053,"Hernando, FL",36099,37274,38612,41385
12055,"Highlands, FL",32968,33047,34433,37158
12057,"Hillsborough, FL",45030,46775,48586,51848
12059,"Holmes, FL",30112,30944,32195,34661
12061,"Indian River, FL",75076,79972,83241,84607
12063,"Jackson, FL",31450,32925,35371,38710
12065,"Jefferson, FL",38896,39930,42058,44065
12067,"Lafayette, FL",24647,24610,27008,30032
12069,"Lake, FL",41950,43160,44253,46563
12071,"Lee, FL",50496,52022,52832,54707
12073,"Leon, FL",42436,44528,46126,48850
12075,"Levy, FL",35927,36173,37176,40598
12077,"Liberty, FL",23877,24601,25697,28496
12079,"Madison, FL",31319,32334,32851,35828
12081,"Manatee, FL",47032,48450,50108,52395
12083,"Marion, FL",36442,37497,38754,41553
12085,"Martin, FL",81345,83846,87423,89185
12086,"Miami-Dade, FL",48755,52942,54316,57213
12087,"Monroe, FL",87396,98438,104370,106583
12089,"Nassau, FL",57498,61013,62700,64746
12091,"Okaloosa, FL",47368,48852,51341,54630
12093,"Okeechobee, FL",31034,30637,32236,34998
12095,"Orange, FL",43020,44751,46645,49390
12097,"Osceola, FL",33148,34848,36258,39210
12099,"Palm Beach, FL",77543,82076,85213,87478
12101,"Pasco, FL",39687,41296,42495,45461
12103,"Pinellas, FL",51405,53578,56002,59178
12105,"Polk, FL",35236,36048,37183,39760
12107,"Putnam, FL",31563,32461,33747,36354
12109,"St. Johns, FL",68047,70853,71577,73944
12111,"St. Lucie, FL",39131,40514,41457,43970
12113,"Santa Rosa, FL",44688,45379,46784,49472
12115,"Sarasota, FL",63809,66930,69004,70884
12117,"Seminole, FL",47152,49435,51620,53403
12119,"Sumter, FL",46163,48902,53411,54533
12121,"Suwannee, FL",32482,33421,33363,35987
12123,"Taylor, FL",28985,30733,30654,33227
12125,"Union, FL",20970,21816,22495,24593
12127,"Volusia, FL",41082,42851,44427,46475
12129,"Wakulla, FL",35446,37246,37560,39938
12131,"Walton, FL",59728,64401,66036,69862
12133,"Washington, FL",29285,30203,30537,32862
13001,"Appling, GA",33240,33620,35558,39199
13003,"Atkinson, GA",28937,28962,30251,31938
13005,"Bacon, GA",31441,31516,32784,38281
13007,"Baker, GA",33548,35175,39932,43156
13009,"Baldwin, GA",31915,32534,33865,36399
13011,"Banks, GA",35193,35862,35990,37333
13013,"Barrow, GA",35807,36720,37318,40435
13015,"Bartow, GA",37028,38310,39755,42734
13017,"Ben Hill, GA",29600,31250,32539,36234
13019,"Berrien, GA",30822,31117,32573,35260
13021,"Bibb, GA",39509,40433,41517,44830
13023,"Bleckley, GA",33013,33520,34464,36712
13025,"Brantley, GA",26070,27046,27472,30007
13027,"Brooks, GA",33756,34708,36742,40221
13029,"Bryan, GA",50475,53382,53404,56648
13031,"Bulloch, GA",31342,32360,32718,35376
13033,"Burke, GA",34447,34940,38419,41973
13035,"Butts, GA",32752,34243,34761,37403
13037,"Calhoun, GA",24114,23262,25701,28426
13039,"Camden, GA",35493,35872,36807,39262
13043,"Candler, GA",31070,32024,33649,36613
13045,"Carroll, GA",37126,38273,39725,42058
13047,"Catoosa, GA",33929,34882,36030,38815
13049,"Charlton, GA",24177,24465,24884,27192
13051,"Chatham, GA",45559,47256,48545,51805
13053,"Chattahoochee, GA",31503,29964,30433,33166
13055,"Chattooga, GA",29702,30296,31069,33855
13057,"Cherokee, GA",50281,52052,53774,56278
13059,"Clarke, GA",32362,33481,34935,37588
13061,"Clay, GA",30808,32081,34175,38731
13063,"Clayton, GA",26721,27430,28329,32702
13065,"Clinch, GA",35573,36689,38551,44238
13067,"Cobb, GA",55448,57762,60383,63214
13069,"Coffee, GA",31301,31761,32880,35507
13071,"Colquitt, GA",32304,32728,33793,37418
13073,"Columbia, GA",48358,49844,51534,54420
13075,"Cook, GA",30891,32303,33589,36301
13077,"Coweta, GA",45358,47395,49042,52106
13079,"Crawford, GA",33368,33841,34633,37563
13081,"Crisp, GA",31585,32341,34299,37250
13083,"Dade, GA",33728,35561,34992,37327
13085,"Dawson, GA",44208,45988,46101,48170
13087,"Decatur, GA",33717,35527,37197,40879
13089,"DeKalb, GA",48914,51310,52950,56428
13091,"Dodge, GA",29484,30026,31116,33419
13093,"Dooly, GA",29914,29886,32995,34582
13095,"Dougherty, GA",33580,34246,35951,40161
13097,"Douglas, GA",34199,35406,36772,40264
13099,"Early, GA",35181,35805,39225,42889
13101,"Echols, GA",27087,28002,28417,31945
13103,"Effingham, GA",40521,41839,41988,45069
13105,"Elbert, GA",35129,35669,35899,38414
13107,"Emanuel, GA",31948,31778,33463,37678
13109,"Evans, GA",33343,33769,34065,37408
13111,"Fannin, GA",35178,36459,38128,39796
13113,"Fayette, GA",61841,66106,68696,71384
13115,"Floyd, GA",36491,37593,38630,41238
13117,"Forsyth, GA",61970,63462,64919,67859
13119,"Franklin, GA",34951,35349,34783,35134
13121,"Fulton, GA",82345,87395,92961,95683
13123,"Gilmer, GA",34342,35252,35979,37542
13125,"Glascock, GA",32548,32979,34576,36615
13127,"Glynn, GA",44266,46614,47795,50480
13129,"Gordon, GA",35831,34849,35882,37759
13131,"Grady, GA",33287,34108,35195,37725
13133,"Greene, GA",56042,60073,60578,61326
13135,"Gwinnett, GA",40337,41877,43573,46886
13137,"Habersham, GA",33042,34002,35006,36691
13139,"Hall, GA",42743,44831,46409,48759
13141,"Hancock, GA",28209,29983,30931,33557
13143,"Haralson, GA",35038,36186,37319,39401
13145,"Harris, GA",45709,47669,49048,51168
13147,"Hart, GA",36238,37741,37980,39402
13149,"Heard, GA",30431,31404,32162,34362
13151,"Henry, GA",38311,39521,40305,43812
13153,"Houston, GA",41524,42784,43847,46579
13155,"Irwin, GA",31957,32984,34748,38364
13157,"Jackson, GA",41409,43180,42927,45099
13159,"Jasper, GA",39162,37560,38411,40541
13161,"Jeff Davis, GA",28366,29901,31948,34341
13163,"Jefferson, GA",32753,32684,34766,39544
13165,"Jenkins, GA",28510,28688,30524,33497
13167,"Johnson, GA",24158,24822,25343,27965
13169,"Jones, GA",36369,37154,38843,41436
13171,"Lamar, GA",32049,33093,34457,37303
13173,"Lanier, GA",26346,27463,28598,31021
13175,"Laurens, GA",35844,37385,38249,41650
13177,"Lee, GA",45120,46245,47926,51908
13179,"Liberty, GA",34459,36766,36969,40087
13181,"Lincoln, GA",35656,36247,37797,40424
13183,"Long, GA",26947,27610,28002,29738
13185,"Lowndes, GA",35750,37150,38136,41117
13187,"Lumpkin, GA",36259,38117,39041,41181
13189,"McDuffie, GA",35072,35763,37740,41111
13191,"McIntosh, GA",29523,31032,31770,34500
13193,"Macon, GA",31096,29773,31843,33955
13195,"Madison, GA",36366,37075,37625,38890
13197,"Marion, GA",27858,29193,29832,31621
13199,"Meriwether, GA",33059,34437,35604,39121
13201,"Miller, GA",39678,43499,46158,49844
13205,"Mitchell, GA",34257,33947,36448,39711
13207,"Monroe, GA",43174,44774,46580,48985
13209,"Montgomery, GA",29008,29016,30196,34061
13211,"Morgan, GA",48776,50724,52550,55032
13213,"Murray, GA",29446,30402,31148,33841
13215,"Muscogee, GA",41950,43215,44896,48080
13217,"Newton, GA",32812,34033,34829,38256
13219,"Oconee, GA",64454,66432,71604,71768
13221,"Oglethorpe, GA",36750,36686,37243,38236
13223,"Paulding, GA",36915,38249,39309,42595
13225,"Peach, GA",37217,36947,38915,41931
13227,"Pickens, GA",46534,47461,48712,50868
13229,"Pierce, GA",35232,35671,36889,39979
13231,"Pike, GA",38458,40168,41710,44311
13233,"Polk, GA",31012,32097,33470,36190
13235,"Pulaski, GA",30101,30734,31876,34636
13237,"Putnam, GA",41074,43753,45402,48498
13239,"Quitman, GA",28709,30839,30994,34810
13241,"Rabun, GA",40810,40470,41317,44160
13243,"Randolph, GA",30912,31828,33565,37204
13245,"Richmond, GA",36198,37321,38663,41999
13247,"Rockdale, GA",34002,35074,36434,40051
13249,"Schley, GA",30213,31890,33278,35588
13251,"Screven, GA",32743,33563,34880,37694
13253,"Seminole, GA",40671,41511,45837,48082
13255,"Spalding, GA",33284,34319,35579,38792
13257,"Stephens, GA",36835,36804,37417,40153
13259,"Stewart, GA",20960,21687,22591,25041
13261,"Sumter, GA",34944,35051,37011,40387
13263,"Talbot, GA",34181,33694,35033,38621
13265,"Taliaferro, GA",32889,32818,36923,36860
13267,"Tattnall, GA",28595,28268,28462,30222
13269,"Taylor, GA",29246,30456,32157,33630
13271,"Telfair, GA",20480,20755,20826,22644
13273,"Terrell, GA",37481,38739,41393,44976
13275,"Thomas, GA",42415,44536,45470,49443
13277,"Tift, GA",35800,37273,38346,42279
13279,"Toombs, GA",33875,34881,35912,40041
13281,"Towns, GA",37025,38273,40105,42908
13283,"Treutlen, GA",28694,28662,28946,31899
13285,"Troup, GA",34810,35676,37461,40920
13287,"Turner, GA",33292,33394,36111,39281
